timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
36808000,36690000,36728000,0,-0.01,-0.01,-0.02,0.09,0.09,0.20250002,0.026431791,-0.039535955,0.046513416,0.104281455,0.104263775,0.21607888,0.0002679823,0.0005996682,0.00040050154,0,1,0,1
37208000,37090000,37128000,0,-0.01,-0.02,0.04,0.09,0.09,0.20250002,0.023472713,-0.031962354,-0.01372898,0.10473428,0.104718834,0.21640368,0.0002104252,0.00039022285,3.48395e-05,0,1,0,1
37608000,37490000,37528000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,0.011053212,-0.053491488,0.030344315,0.10509274,0.10507902,0.21660396,4.6501213e-05,0.0010892143,0.00017003888,0,1,0,1
38008000,37890000,37928000,0,-0.01,-0.01,0.01,0.09,0.09,0.20250002,0.02092607,-0.04126755,0.023810314,0.10536682,0.1053545,0.21675052,0.00016623843,0.00064658304,0.000104623694,0,1,0,1
38408000,38286000,38328000,0,0.0,0.0,0.01,0.09,0.09,0.20250002,0.0067102076,-0.04891723,0.030642593,0.1055664,0.105556615,0.21685402,1.7061067e-05,0.0009067724,0.00017319826,0,1,0,1
38608000,38490000,38528000,0,-0.01,0.0,0.0,0.09,0.09,0.20250002,0.017387457,-0.044620696,0.041722532,0.10416244,0.10415438,0.21608008,0.000116097006,0.00076463673,0.00032224527,0,1,0,1
39008000,38886000,38928000,0,0.0,0.0,-0.06,0.09,0.09,0.20250002,0.008917126,-0.04551432,0.11101057,0.10461232,0.104604,0.21633424,3.0403737e-05,0.0007921507,0.0022785752,0,1,0,1
39208000,39090000,39128000,0,0.0,0.02,-0.01,0.09,0.09,0.20250002,0.010855015,-0.061281107,0.05946467,0.10347829,0.103470825,0.21568438,4.5548244e-05,0.0014517616,0.00065578177,0,1,0,1
39608000,39486000,39528000,0,0.01,0.01,-0.04,0.09,0.09,0.20250002,0.0027789092,-0.049608104,0.09585941,0.10406726,0.10405995,0.21603131,2.9682096e-06,0.00094597926,0.001701425,0,1,0,1
39808000,39690000,39728000,0,0.01,0.0,-0.01,0.09,0.09,0.20250002,0.0031480454,-0.03293953,0.065641806,0.1030847,0.10307928,0.21545674,3.8454555e-06,0.00042104008,0.00079994655,0,1,0,1
