timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
97808000,97690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
98208000,98090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
98608000,98490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
99008000,98886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
99408000,99290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
99808000,99686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
100008000,99890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
100408000,100290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
100808000,100686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
101008000,100890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
101408000,101286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
101808000,101690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
102208000,102090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
102608000,102490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
103008000,102890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
103408000,103290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
103808000,103690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
104208000,104090000,0.0007526839,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0
104608000,104490000,3.0107389e-05,0.00010070801,0.00040000002,1,0,0,0,0,0,0,0,0,0,0
105008000,104886000,2.8915136e-05,0.00050142454,0.00055172,1,0,0,0,0,0,0,0,0,0,0
105208000,105090000,2.8325267e-05,0.0001921232,0.0007014202,1,0,0,0,0,0,0,0,0,0,0
105608000,105486000,2.7203585e-05,0.0006850034,0.0015571114,1,0,0,0,0,0,0,0,0,0,0
105808000,105690000,2.6648631e-05,0.0004696133,0.0014372105,1,0,0,0,0,0,0,0,0,0,0
106208000,106090000,2.5582685e-05,0.00014731585,0.0021425923,1,0,0,0,0,0,0,0,0,0,0
106608000,106490000,0.0011122206,0.00024213122,0.0020568885,1,0,0,0,0,0,0,0,0,0,0
